timestamp_sec,q1,q2,q3,q4,q5,q6
0.0000,0.00249,0.00776,-0.00669,-2.49123,1.57080,1.52784
0.0200,0.00990,0.03090,-0.02665,-2.45015,1.57080,1.52784
0.0400,0.02213,0.06907,-0.05957,-2.38242,1.57080,1.52784
0.0600,0.03899,0.12166,-0.10493,-2.28909,1.57080,1.52784
0.0800,0.06020,0.18785,-0.16200,-2.17163,1.57080,1.52784
0.1000,0.08543,0.26658,-0.22991,-2.03191,1.57080,1.52784
0.1200,0.11428,0.35663,-0.30756,-1.87212,1.57080,1.52784
0.1400,0.14630,0.45656,-0.39374,-1.69478,1.57080,1.52784
0.1600,0.18099,0.56480,-0.48709,-1.50269,1.57080,1.52784
0.1800,0.21779,0.67965,-0.58614,-1.29889,1.57080,1.52784
0.2000,0.25613,0.79929,-0.68932,-1.08657,1.57080,1.52784
0.2200,0.29540,0.92183,-0.79500,-0.86910,1.57080,1.52784
0.2400,0.33498,1.04535,-0.90153,-0.64990,1.57080,1.52784
0.2600,0.37425,1.16790,-1.00722,-0.43243,1.57080,1.52784
0.2800,0.41258,1.28754,-1.11040,-0.22011,1.57080,1.52784
0.3000,0.44939,1.40238,-1.20944,-0.01631,1.57080,1.52784
0.3200,0.48407,1.51063,-1.30279,0.17578,1.57080,1.52784
0.3400,0.51609,1.61056,-1.38897,0.35312,1.57080,1.52784
0.3600,0.54495,1.70060,-1.46663,0.51291,1.57080,1.52784
0.3800,0.57018,1.77933,-1.53453,0.65263,1.57080,1.52784
0.4000,0.59139,1.84552,-1.59161,0.77008,1.57080,1.52784
0.4200,0.60824,1.89811,-1.63697,0.86341,1.57080,1.52784
0.4400,0.62047,1.93628,-1.66989,0.93115,1.57080,1.52784
0.4600,0.62789,1.95943,-1.68985,0.97223,1.57080,1.52784
0.4800,0.63037,1.96718,-1.69654,0.98599,1.57080,1.52784
0.5000,0.63038,1.96775,-1.69441,0.98330,1.57080,1.52784
0.5200,0.63039,1.96945,-1.68811,0.97530,1.57080,1.52784
0.5400,0.63040,1.97222,-1.67783,0.96225,1.57080,1.52784
0.5600,0.63042,1.97598,-1.66387,0.94453,1.57080,1.52784
0.5800,0.63044,1.98061,-1.64666,0.92268,1.57080,1.52784
0.6000,0.63047,1.98598,-1.62672,0.89738,1.57080,1.52784
0.6200,0.63050,1.99192,-1.60466,0.86938,1.57080,1.52784
0.6400,0.63053,1.99825,-1.58115,0.83954,1.57080,1.52784
0.6600,0.63056,2.00477,-1.55690,0.80876,1.57080,1.52784
0.6800,0.63060,2.01130,-1.53265,0.77799,1.57080,1.52784
0.7000,0.63063,2.01763,-1.50914,0.74815,1.57080,1.52784
0.7200,0.63066,2.02357,-1.48708,0.72015,1.57080,1.52784
0.7400,0.63069,2.02894,-1.46715,0.69485,1.57080,1.52784
0.7600,0.63071,2.03357,-1.44993,0.67300,1.57080,1.52784
0.7800,0.63073,2.03733,-1.43597,0.65528,1.57080,1.52784
0.8000,0.63074,2.04010,-1.42569,0.64223,1.57080,1.52784
0.8200,0.63075,2.04179,-1.41939,0.63423,1.57080,1.52784
0.8400,0.63075,2.04237,-1.41727,0.63154,1.57080,1.52784
0.8600,0.63075,2.04237,-1.41727,0.63154,1.57080,1.50323
0.8800,0.63075,2.04237,-1.41727,0.63154,1.57080,1.43105
0.9000,0.63075,2.04237,-1.41727,0.63154,1.57080,1.31623
0.9200,0.63075,2.04237,-1.41727,0.63154,1.57080,1.16659
0.9400,0.63075,2.04237,-1.41727,0.63154,1.57080,0.99234
0.9600,0.63075,2.04237,-1.41727,0.63154,1.57080,0.80534
0.9800,0.63075,2.04237,-1.41727,0.63154,1.57080,0.61834
1.0000,0.63075,2.04237,-1.41727,0.63154,1.57080,0.44409
1.0200,0.63075,2.04237,-1.41727,0.63154,1.57080,0.29445
1.0400,0.63075,2.04237,-1.41727,0.63154,1.57080,0.17963
1.0600,0.63075,2.04237,-1.41727,0.63154,1.57080,0.10745
