r_cm,r_m,theta_deg,sag_delta_z_mm,sag_delta_z_m
20.0,0.2,-90.0,-10.0,-0.01
25.0,0.25,-90.0,5.0,0.005
30.0,0.3,-90.0,6.0,0.006
35.0,0.35,-90.0,16.0,0.016
15.0,0.15,-60.0,-2.0,-0.002
20.0,0.2,-60.0,1.0,0.001
25.0,0.25,-60.0,-2.0,-0.002
30.0,0.3,-60.0,-2.0,-0.002
35.0,0.35,-60.0,12.0,0.012
15.0,0.15,-30.0,-1.0,-0.001
20.0,0.2,-30.0,0.0,0.0
25.0,0.25,-30.0,4.0,0.004
30.0,0.3,-30.0,11.0,0.011
35.0,0.35,-30.0,-7.0,-0.007
40.0,0.4,-30.0,5.0,0.005
15.0,0.15,0.0,7.0,0.007
20.0,0.2,0.0,-1.0,-0.001
25.0,0.25,0.0,4.0,0.004
30.0,0.3,0.0,-5.0,-0.005
35.0,0.35,0.0,3.0,0.003
40.0,0.4,0.0,6.0,0.006
15.0,0.15,30.0,-1.0,-0.001
20.0,0.2,30.0,0.0,0.0
25.0,0.25,30.0,0.0,0.0
30.0,0.3,30.0,10.0,0.01
35.0,0.35,30.0,15.0,0.015
40.0,0.4,30.0,5.0,0.005
15.0,0.15,60.0,-1.0,-0.001
20.0,0.2,60.0,0.0,0.0
25.0,0.25,60.0,5.0,0.005
30.0,0.3,60.0,-2.0,-0.002
35.0,0.35,60.0,13.0,0.013
20.0,0.2,90.0,-6.0,-0.006
25.0,0.25,90.0,14.0,0.014
30.0,0.3,90.0,0.0,0.0
35.0,0.35,90.0,13.0,0.013
