timestamp_sec,q1,q2,q3,q4,q5,q6
0.0000,0.00007,0.00022,-0.00019,-2.50460,-1.61068,1.52784
0.0200,0.00028,0.00086,-0.00077,-2.50343,-1.61068,1.52784
0.0400,0.00062,0.00194,-0.00174,-2.50148,-1.61068,1.52784
0.0600,0.00110,0.00344,-0.00309,-2.49875,-1.61068,1.52784
0.0800,0.00172,0.00538,-0.00482,-2.49524,-1.61068,1.52784
0.1000,0.00248,0.00774,-0.00694,-2.49096,-1.61068,1.52784
0.1200,0.00338,0.01053,-0.00944,-2.48590,-1.61068,1.52784
0.1400,0.00441,0.01375,-0.01233,-2.48008,-1.61068,1.52784
0.1600,0.00557,0.01739,-0.01559,-2.47348,-1.61068,1.52784
0.1800,0.00688,0.02146,-0.01924,-2.46611,-1.61068,1.52784
0.2000,0.00831,0.02595,-0.02326,-2.45798,-1.61068,1.52784
0.2200,0.00988,0.03085,-0.02766,-2.44909,-1.61068,1.52784
0.2400,0.01159,0.03617,-0.03243,-2.43945,-1.61068,1.52784
0.2600,0.01343,0.04191,-0.03757,-2.42905,-1.61068,1.52784
0.2800,0.01540,0.04806,-0.04309,-2.41791,-1.61068,1.52784
0.3000,0.01750,0.05462,-0.04897,-2.40603,-1.61068,1.52784
0.3200,0.01973,0.06159,-0.05521,-2.39340,-1.61068,1.52784
0.3400,0.02209,0.06896,-0.06182,-2.38005,-1.61068,1.52784
0.3600,0.02458,0.07673,-0.06879,-2.36597,-1.61068,1.52784
0.3800,0.02720,0.08490,-0.07611,-2.35117,-1.61068,1.52784
0.4000,0.02994,0.09346,-0.08379,-2.33566,-1.61068,1.52784
0.4200,0.03281,0.10241,-0.09181,-2.31944,-1.61068,1.52784
0.4400,0.03580,0.11175,-0.10018,-2.30253,-1.61068,1.52784
0.4600,0.03892,0.12147,-0.10890,-2.28492,-1.61068,1.52784
0.4800,0.04215,0.13156,-0.11795,-2.26663,-1.61068,1.52784
0.5000,0.04551,0.14203,-0.12733,-2.24766,-1.61068,1.52784
0.5200,0.04898,0.15287,-0.13705,-2.22802,-1.61068,1.52784
